{0} #{1},{0} Nr. {1}
{0} actions,{0} Aktionen
{0} of {1} rows selected.,{0} von {1} Zeilen ausgewählt.
{0} selected,{0} ausgewählt
A password reset link has been sent to your email address. Please check your inbox and follow the instructions to reset your password.,Ein Link zum Zurücksetzen des Passworts wurde an Ihre E-Mail-Adresse gesendet. Prüfen Sie Ihren Posteingang und folgen Sie den Anweisungen, um Ihr Passwort zurückzusetzen.
Account,Konto
Account created successfully!,Konto erfolgreich erstellt!
Account created successfully. Please check your email to confirm your account.,Konto erfolgreich erstellt. Prüfen Sie Ihre E-Mails, um Ihr Konto zu bestätigen.
Action,Aktion
Action type,Aktionstyp
Actions,Aktionen
Add a new team to collaborate with others.,Fügen Sie ein neues Team hinzu, um mit anderen zusammenzuarbeiten.
Add a new team to get started.,Fügen Sie ein neues Team hinzu, um loszulegen.
Add condition,Bedingung hinzufügen
Add email,E-Mail hinzufügen
Add team,Team hinzufügen
Add webhook,Webhook hinzufügen
After that\, ask your team administrator to resend the invitation.,Bitten Sie anschließend Ihren Teamadministrator, die Einladung erneut zu senden.
All action types,Alle Aktionstypen
All event types,Alle Ereignistypen
All supported webhook events,Alle unterstützten Webhook-Ereignisse
Already have an account?,Sie haben bereits ein Konto?
An unexpected error occurred,Ein unerwarteter Fehler ist aufgetreten
and,und
API Key,API-Schlüssel
API Key copied to clipboard,API-Schlüssel in die Zwischenablage kopiert
API key created successfully,API-Schlüssel erfolgreich erstellt
API key creation in the dashboard is disabled because JWT-based token flow with assertion is enabled for this team. Keys can only be created via the API using a signed JWT assertion. Contact support if you have any questions.,Die Erstellung von API-Schlüsseln im Dashboard ist deaktiviert, da für dieses Team der JWT-basierte Token-Ablauf mit Assertion aktiviert ist. Schlüssel können nur über die API mit einer signierten JWT-Assertion erstellt werden. Wenden Sie sich bei Fragen an den Support.
API Key Creation Not Available,API-Schlüssel können nicht erstellt werden
API key deleted successfully,API-Schlüssel erfolgreich gelöscht
API Key Expiration in,API-Schlüssel läuft ab in
API Keys,API-Schlüssel
Are you sure you want to delete the team "{0}"? This action cannot be undone. All team members\, API keys\, and associated data will be permanently removed.,Möchten Sie das Team „{0}“ wirklich löschen? Diese Aktion kann nicht rückgängig gemacht werden. Alle Teammitglieder, API-Schlüssel und zugehörigen Daten werden dauerhaft entfernt.
Are you sure you want to delete this rule? This action cannot be undone.,Möchten Sie diese Regel wirklich löschen? Diese Aktion kann nicht rückgängig gemacht werden.
Array member,Array-Element
Ascending,Aufsteigend
Attachments,Anhänge
Attempts,Versuche
Authorization Header,Authorization-Header
Authorization header copied to clipboard,Authorization-Header in die Zwischenablage kopiert
Basic,Basis
Basic Authentication,Basisauthentifizierung
Best regards\,,Mit freundlichen Grüßen,
Breadcrumb,Brotkrümelnavigation
Cancel,Abbrechen
Carousel,Karussell
Change Logo,Logo ändern
Change password,Passwort ändern
Check your email,Prüfen Sie Ihre E-Mails
Choose what should happen when this rule matches.,Wählen Sie aus, was geschehen soll, wenn diese Regel zutrifft.
Choose when this rule should run and what it should do.,Wählen Sie aus, wann diese Regel ausgeführt werden soll und was sie tun soll.
Clear filters,Filter löschen
Close,Schließen
Comma or newline separated email addresses,Durch Kommas oder Zeilenumbrüche getrennte E-Mail-Adressen
Comma-separated ISO dates,Durch Kommas getrennte ISO-Datumswerte
Comma-separated numbers,Durch Kommas getrennte Zahlen
Comma-separated values,Durch Kommas getrennte Werte
Command Palette,Befehlspalette
Conditions,Bedingungen
Confirm email address,E-Mail-Adresse bestätigen
Confirm new password,Neues Passwort bestätigen
Confirm Password,Passwort bestätigen
Confirm your email,Bestätigen Sie Ihre E-Mail-Adresse
Confirm your email address,Bestätigen Sie Ihre E-Mail-Adresse
Confirmation email sent!,Bestätigungs-E-Mail gesendet!
Confirmation Failed,Bestätigung fehlgeschlagen
Confirming Email,E-Mail wird bestätigt
Contains,Enthält
Continue,Weiter
Copy rule ID,Regel-ID kopieren
Could not create API key: {0},API-Schlüssel konnte nicht erstellt werden: {0}
Could Not Verify API Key Creation,Verfügbarkeit der API-Schlüsselerstellung konnte nicht geprüft werden
Create a new team,Neues Team erstellen
