Login,Connexion
Enter your email below to login to your account,Entrez votre adresse e-mail ci-dessous pour vous connecter
Email,E-mail
Password,Mot de passe
Forgot your password?,Mot de passe oublié ?
Don't have an account?,Vous n'avez pas de compte ?
Sign up,S'inscrire
Login failed,Échec de la connexion
An unexpected error occurred,Une erreur inattendue s'est produite
Logout,Déconnexion
Logged out successfully,Déconnecté avec succès
Failed to log out,Échec de la déconnexion
Save,Enregistrer
Cancel,Annuler
Delete,Supprimer
Close,Fermer
API Keys,Clés API
Team,Équipe
Change password,Changer le mot de passe
Password reset email sent,E-mail de réinitialisation envoyé
Check your email for instructions to reset your password,Vérifiez votre e-mail pour les instructions de réinitialisation
Failed to send reset link,Échec de l'envoi du lien
Unable to change password,Impossible de changer le mot de passe
User email not available,Adresse e-mail non disponible
Create account,Créer un compte
Enter your details below to create an account,Entrez vos coordonnées ci-dessous pour créer un compte
Confirm your email address,Confirmez votre adresse e-mail
Reset your password,Réinitialisez votre mot de passe
New password,Nouveau mot de passe
Reset password,Réinitialiser le mot de passe
Enter your email to receive a password reset link,Entrez votre e-mail pour recevoir un lien de réinitialisation
Send reset link,Envoyer le lien
Confirm your email,Confirmez votre e-mail
Hello {0}\,,Bonjour {0}\,
Thank you for signing up for Recommand. Please confirm your email address to get started.,Merci de vous être inscrit sur Recommand. Veuillez confirmer votre adresse e-mail pour commencer.
Confirm email address,Confirmer l'adresse e-mail
If you didn't create an account\, you can safely ignore this email.,Si vous n'avez pas créé de compte\, vous pouvez ignorer cet e-mail.
Reset your Recommand password,Réinitialisez votre mot de passe Recommand
We received a request to reset your password for your Recommand account.,Nous avons reçu une demande de réinitialisation de votre mot de passe Recommand.
This link will expire in 1 hour for security reasons.,Ce lien expirera dans 1 heure pour des raisons de sécurité.
If you didn't request this\, you can safely ignore this email.,Si vous n'avez pas fait cette demande\, vous pouvez ignorer cet e-mail.
You've been invited to join {0} on Recommand,Vous avez été invité à rejoindre {0} sur Recommand
You're invited,Vous êtes invité
You've been invited to join {0} on Recommand. We've created an account for you.,Vous avez été invité à rejoindre {0} sur Recommand. Nous avons créé un compte pour vous.
Set your password,Définissez votre mot de passe
This invitation will expire in 7 days.,Cette invitation expirera dans 7 jours.
After that\, ask your team administrator to resend the invitation.,Après cela\, demandez à votre administrateur d'équipe de renvoyer l'invitation.
User not found,Utilisateur introuvable
Unauthorized,Non autorisé
Internal server error,Erreur interne du serveur
Team deleted successfully,Équipe supprimée avec succès
Incorrect password,Mot de passe incorrect
Please confirm your email address before logging in,Veuillez confirmer votre adresse e-mail avant de vous connecter
Account created successfully. Please check your email to confirm your account.,Compte créé avec succès. Vérifiez votre e-mail pour confirmer votre compte.
User already exists,L'utilisateur existe déjà
Invalid or expired confirmation token,Jeton de confirmation invalide ou expiré
Email already verified,E-mail déjà vérifié
Email confirmed successfully. You are now logged in.,E-mail confirmé avec succès. Vous êtes maintenant connecté.
If an account with that email exists and is not verified\, a confirmation email has been sent.,Si un compte avec cet e-mail existe et n'est pas vérifié\, un e-mail de confirmation a été envoyé.
Email is already verified,L'e-mail est déjà vérifié
Invalid or expired reset token,Jeton de réinitialisation invalide ou expiré
User ID is required,L'identifiant utilisateur est requis
Permission not found,Permission introuvable
User is already a member of this team,L'utilisateur est déjà membre de cette équipe
Invitation sent successfully,Invitation envoyée avec succès
User added to team,Utilisateur ajouté à l'équipe
Account created successfully!,Compte créé avec succès !
Please check your email to confirm your account.,Vérifiez votre e-mail pour confirmer votre compte.
Signup failed,Échec de l'inscription
Confirmation email sent!,E-mail de confirmation envoyé !
Failed to resend confirmation,Échec du renvoi de la confirmation
Check your email,Vérifiez votre e-mail
We've sent a confirmation link to,Nous avons envoyé un lien de confirmation à
Please check your email and click the confirmation link to activate your account.,Vérifiez votre e-mail et cliquez sur le lien de confirmation pour activer votre compte.
Sending...,Envoi...
Resend confirmation email,Renvoyer l'e-mail de confirmation
Already have an account?,Vous avez déjà un compte ?
Enter your email below to create your account,Entrez votre e-mail ci-dessous pour créer votre compte
Reset link sent,Lien de réinitialisation envoyé
A password reset link has been sent to your email address. Please check your inbox and follow the instructions to reset your password.,Un lien de réinitialisation a été envoyé à votre adresse e-mail. Vérifiez votre boîte de réception et suivez les instructions pour réinitialiser votre mot de passe.
Forgot password,Mot de passe oublié
Enter your email address below and we'll send you a link to reset your password.,Entrez votre adresse e-mail ci-dessous et nous vous enverrons un lien pour réinitialiser votre mot de passe.
Passwords do not match,Les mots de passe ne correspondent pas
Password must be at least 8 characters long,Le mot de passe doit contenir au moins 8 caractères
Password reset successfully,Mot de passe réinitialisé avec succès
Failed to reset password,Échec de la réinitialisation du mot de passe
Enter a new password for your account.,Entrez un nouveau mot de passe pour votre compte.
Enter new password,Entrez un nouveau mot de passe
Confirm Password,Confirmer le mot de passe
Confirm new password,Confirmer le nouveau mot de passe
Resetting...,Réinitialisation...
Reset Password,Réinitialiser le mot de passe
Invalid confirmation link,Lien de confirmation invalide
Email confirmed successfully!,E-mail confirmé avec succès !
Confirming Email,Confirmation de l'e-mail
Please wait while we confirm your email address...,Veuillez patienter pendant que nous confirmons votre adresse e-mail...
Email Confirmed!,E-mail confirmé !
Your email has been successfully confirmed. You are now logged in and will be redirected to the dashboard.,Votre e-mail a été confirmé avec succès. Vous êtes maintenant connecté et serez redirigé vers le tableau de bord.
Go to Dashboard,Aller au tableau de bord
Confirmation Failed,Échec de la confirmation
